Periodo;IPC;PIB;PIB_no_minero;Brecha_PIB;Brecha_PIB_no_minero;Consumo_privado;Consumo_durable;Consumo_no_durable;Brecha_Consumo_privado;Exportaciones;Importaciones;Balanza_comercial;Tasa_desempleo;TPM;TCN;TCR
mar.1996;47,29;16.472;13.821;0,00;0,00;8.760;365;4.314;0;4.292;4.093;199;6,6;6,70;410;86,9
jun.1996;48,29;16.700;13.975;0,00;0,00;9.217;405;4.232;0;4.572;4.206;366;6,6;7,44;408;84,2
sept.1996;48,65;16.043;13.276;0,00;0,00;9.073;407;4.182;0;3.876;4.517;-641;6,8;7,50;411;83,8
dic.1996;49,40;17.492;14.574;0,00;0,00;9.978;494;4.703;-1;3.887;4.883;-996;5,4;7,50;419;83,8
mar.1997;50,58;17.387;14.516;0,00;0,00;9.181;371;4.461;-1;4.956;4.307;649;5,8;7,35;418;80,5
jun.1997;50,98;17.857;14.849;0,00;0,00;9.769;445;4.424;-1;4.619;4.508;112;6,6;6,97;418;79,1
sept.1997;51,44;17.320;14.381;0,00;0,00;9.890;508;4.511;0;4.104;5.003;-899;6,7;6,68;416;76,8
dic.1997;52,51;19.098;15.908;0,00;0,00;11.005;644;5.149;2;4.191;5.480;-1.289;5,3;6,50;425;76,3
mar.1998;53,41;18.759;15.652;0,00;0,00;10.085;493;4.807;3;4.325;4.852;-527;5,3;7,91;452;77,8
jun.1998;53,73;19.119;15.874;0,00;0,00;10.639;570;4.743;5;4.324;4.793;-470;6,1;8,50;454;77,6
sept.1998;54,04;18.032;14.907;0,00;0,00;10.257;519;4.625;5;3.808;4.743;-935;6,9;9,33;469;78,4
dic.1998;54,83;18.850;15.587;0,00;0,00;10.801;505;5.064;3;3.867;3.975;-109;7,3;10,30;466;78,2
mar.1999;55,45;18.275;15.112;0,00;0,00;9.779;350;4.660;2;4.351;3.543;808;8,4;7,40;487;79,0
jun.1999;55,84;18.463;15.240;0,00;0,00;10.119;367;4.511;0;4.262;3.567;695;11,1;6,07;490;78,8
sept.1999;55,77;17.871;14.717;0,00;0,00;10.171;381;4.607;-1;4.063;3.823;240;11,8;5,00;518;83,6
dic.1999;56,17;19.843;16.397;0,00;0,00;11.297;479;5.281;-1;4.487;3.803;685;9,3;5,00;540;87,8
mar.2000;57,22;19.416;16.088;0,00;0,00;10.266;377;4.865;0;5.112;4.074;1.038;8,6;5,21;512;83,0
jun.2000;57,86;19.607;16.218;0,00;0,00;10.697;436;4.751;1;4.652;4.348;304;9,9;5,50;520;83,0
sept.2000;57,98;18.838;15.513;0,00;0,00;10.601;442;4.774;1;4.729;4.448;282;11,3;5,31;553;88,4
