Periodo;IPC;PIB;PIB_no_minero;Brecha_PIB;Brecha_PIB_no_minero;Consumo_privado;Consumo_durable;Consumo_no_durable;Brecha_Consumo_privado;Exportaciones;Importaciones;Balanza_comercial;Tasa_desempleo;TPM;TCN;TCR;f2_ygap;f4_ygap;TC_IPC;TC_PIBNM;IPC_t_1;PIB_t_1;PIB_no_minero_t_1;Brecha_PIB_t_1;Brecha_PIB_no_minero_t_1;Consumo_privado_t_1;Exportaciones_t_1;Importaciones_t_1;Tasa_desempleo_t_1;TPM_t_1;TCN_t_1;TCR_t_1;IPC_t_2;PIB_t_2;PIB_no_minero_t_2;Brecha_PIB_t_2;Brecha_PIB_no_minero_t_2;Consumo_privado_t_2;Exportaciones_t_2;Importaciones_t_2;Tasa_desempleo_t_2;TPM_t_2;TCN_t_2;TCR_t_2;IPC_t_3;PIB_t_3;PIB_no_minero_t_3;Brecha_PIB_t_3;Brecha_PIB_no_minero_t_3;Consumo_privado_t_3;Exportaciones_t_3;Importaciones_t_3;Tasa_desempleo_t_3;TPM_t_3;TCN_t_3;TCR_t_3;IPC_t_4;PIB_t_4;PIB_no_minero_t_4;Brecha_PIB_t_4;Brecha_PIB_no_minero_t_4;Consumo_privado_t_4;Exportaciones_t_4;Importaciones_t_4;Tasa_desempleo_t_4;TPM_t_4;TCN_t_4;TCR_t_4
mar.1996;47,29;16.472;13.821;0,00;0,00;8.760;365;4.314;0;4.292;4.093;199;6,6;6,70;410;86,9;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun.1996;48,29;16.700;13.975;0,00;0,00;9.217;405;4.232;0;4.572;4.206;366;6,6;7,44;408;84,2;0,00;0,00;0,00;0,00;47,28743663;16471,86975;13821,44785;0;0;8759,662047;4291,9;4093,2;6,575069192;6,7;410,3196875;86,88883272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sept.1996;48,65;16.043;13.276;0,00;0,00;9.073;407;4.182;0;3.876;4.517;-641;6,8;7,50;411;83,8;0,00;0,00;0,00;0,00;48,28822381;16699,91783;13974,75295;0;0;9216,818404;4571,5;4205,7;6,579669381;7,436666667;408,1122951;84,18649568;47,28743663;16471,86975;13821,44785;0;0;8759,662047;4291,9;4093,2;6,575069192;6,7;410,3196875;86,88883272;;;;;;;;;;;;;;;;;;;;;;;;
dic.1996;49,40;17.492;14.574;0,00;0,00;9.978;494;4.703;-1;3.887;4.883;-996;5,4;7,50;419;83,8;0,00;0,00;0,00;0,00;48,65295972;16042,66418;13276,02275;0;0;9072,717274;3876,2;4516,9;6,773585562;7,5;411,1764516;83,8088756;48,28822381;16699,91783;13974,75295;0;0;9216,818404;4571,5;4205,7;6,579669381;7,436666667;408,1122951;84,18649568;47,28743663;16471,86975;13821,44785;0;0;8759,662047;4291,9;4093,2;6,575069192;6,7;410,3196875;86,88883272;;;;;;;;;;;;
mar.1997;50,58;17.387;14.516;0,00;0,00;9.181;371;4.461;-1;4.956;4.307;649;5,8;7,35;418;80,5;0,00;0,00;6,96;5,03;49,39948675;17492,19809;14573,70645;0;0;9978,300897;3887,3;4882,9;5,392033453;7,5;419,1509524;83,76482378;48,65295972;16042,66418;13276,02275;0;0;9072,717274;3876,2;4516,9;6,773585562;7,5;411,1764516;83,8088756;48,28822381;16699,91783;13974,75295;0;0;9216,818404;4571,5;4205,7;6,579669381;7,436666667;408,1122951;84,18649568;47,28743663;16471,86975;13821,44785;0;0;8759,662047;4291,9;4093,2;6,575069192;6,7;410,3196875;86,88883272
jun.1997;50,98;17.857;14.849;0,00;0,00;9.769;445;4.424;-1;4.619;4.508;112;6,6;6,97;418;79,1;0,00;0,00;5,58;6,26;50,576544;17387,47644;14516,17736;0;0;9181,422572;4956;4307,4;5,835650775;7,353333333;418,1990323;80,48279803;49,39948675;17492,19809;14573,70645;0;0;9978,300897;3887,3;4882,9;5,392033453;7,5;419,1509524;83,76482378;48,65295972;16042,66418;13276,02275;0;0;9072,717274;3876,2;4516,9;6,773585562;7,5;411,1764516;83,8088756;48,28822381;16699,91783;13974,75295;0;0;9216,818404;4571,5;4205,7;6,579669381;7,436666667;408,1122951;84,18649568
sept.1997;51,44;17.320;14.381;0,00;0,00;9.890;508;4.511;0;4.104;5.003;-899;6,7;6,68;416;76,8;0,00;0,00;5,72;8,32;50,98427545;17856,94973;14848,97331;0;0;9768,78583;4619,4;4507,6;6,601943493;6,966666667;417,8395161;79,07238287;50,576544;17387,47644;14516,17736;0;0;9181,422572;4956;4307,4;5,835650775;7,353333333;418,1990323;80,48279803;49,39948675;17492,19809;14573,70645;0;0;9978,300897;3887,3;4882,9;5,392033453;7,5;419,1509524;83,76482378;48,65295972;16042,66418;13276,02275;0;0;9072,717274;3876,2;4516,9;6,773585562;7,5;411,1764516;83,8088756
dic.1997;52,51;19.098;15.908;0,00;0,00;11.005;644;5.149;2;4.191;5.480;-1.289;5,3;6,50;425;76,3;0,00;0,00;6,30;9,15;51,43663809;17319,5636;14381,15844;0;0;9890,180551;4104,1;5002,9;6,696475743;6,676666667;415,5180645;76,7873875;50,98427545;17856,94973;14848,97331;0;0;9768,78583;4619,4;4507,6;6,601943493;6,966666667;417,8395161;79,07238287;50,576544;17387,47644;14516,17736;0;0;9181,422572;4956;4307,4;5,835650775;7,353333333;418,1990323;80,48279803;49,39948675;17492,19809;14573,70645;0;0;9978,300897;3887,3;4882,9;5,392033453;7,5;419,1509524;83,76482378
mar.1998;53,41;18.759;15.652;0,00;0,00;10.085;493;4.807;3;4.325;4.852;-527;5,3;7,91;452;77,8;0,00;0,00;5,60;7,83;52,50929551;19097,55652;15907,61485;0;0;11004,91853;4190,8;5479,9;5,342005904;6,5;425,3403175;76,28606783;51,43663809;17319,5636;14381,15844;0;0;9890,180551;4104,1;5002,9;6,696475743;6,676666667;415,5180645;76,7873875;50,98427545;17856,94973;14848,97331;0;0;9768,78583;4619,4;4507,6;6,601943493;6,966666667;417,8395161;79,07238287;50,576544;17387,47644;14516,17736;0;0;9181,422572;4956;4307,4;5,835650775;7,353333333;418,1990323;80,48279803
jun.1998;53,73;19.119;15.874;0,00;0,00;10.639;570;4.743;5;4.324;4.793;-470;6,1;8,50;454;77,6;0,00;0,00;5,39;6,91;53,40849998;18759,34625;15652,1109;0;0;10084,9065;4324,5;4851,6;5,29875791;7,91;451,5473016;77,82070922;52,50929551;19097,55652;15907,61485;0;0;11004,91853;4190,8;5479,9;5,342005904;6,5;425,3403175;76,28606783;51,43663809;17319,5636;14381,15844;0;0;9890,180551;4104,1;5002,9;6,696475743;6,676666667;415,5180645;76,7873875;50,98427545;17856,94973;14848,97331;0;0;9768,78583;4619,4;4507,6;6,601943493;6,966666667;417,8395161;79,07238287
sept.1998;54,04;18.032;14.907;0,00;0,00;10.257;519;4.625;5;3.808;4.743;-935;6,9;9,33;469;78,4;0,00;0,00;5,07;3,66;53,73018195;19119,30475;15874,35935;0;0;10638,89555;4323,7;4793,2;6,13997032;8,5;454,4545;77,5817675;53,40849998;18759,34625;15652,1109;0;0;10084,9065;4324,5;4851,6;5,29875791;7,91;451,5473016;77,82070922;52,50929551;19097,55652;15907,61485;0;0;11004,91853;4190,8;5479,9;5,342005904;6,5;425,3403175;76,28606783;51,43663809;17319,5636;14381,15844;0;0;9890,180551;4104,1;5002,9;6,696475743;6,676666667;415,5180645;76,7873875
dic.1998;54,83;18.850;15.587;0,00;0,00;10.801;505;5.064;3;3.867;3.975;-109;7,3;10,30;466;78,2;0,00;0,00;4,42;-2,01;54,04322562;18031,77115;14907,12894;0;0;10256,86569;3808;4743,2;6,861043389;9,325;468,6421875;78,39297837;53,73018195;19119,30475;15874,35935;0;0;10638,89555;4323,7;4793,2;6,13997032;8,5;454,4545;77,5817675;53,40849998;18759,34625;15652,1109;0;0;10084,9065;4324,5;4851,6;5,29875791;7,91;451,5473016;77,82070922;52,50929551;19097,55652;15907,61485;0;0;11004,91853;4190,8;5479,9;5,342005904;6,5;425,3403175;76,28606783
